Base,Rating,Prices,cat,Positive,Negative
WrlsHead4,3.5,3.869863014,ovrearwrls,4.79,0.21
WrlsHead5,3.5,4.347945205,ovrearwrls,4.79,0.21
WrlsHead6,3.5,4.445205479,ovrearwrls,4.79,0.21
WrlsHead7,3.5,4.253424658,ovrearwrls,4.79,0.21
WrlsHead8,3.5,4.246575342,ovrearwrls,4.79,0.21
WrlsHead9,3.5,4.547945205,ovrearwrls,4.79,0.21
Dress1,3.964285714,14.08579932,dress,4.55,0.45
Dress10,4.487323944,25.07780013,dress,4.55,0.45
Dress11,4.512676056,14.65870221,dress,4.55,0.45
Dress12,4.525352113,12.82838699,dress,4.55,0.45
Dress13,4.604225352,17.40761234,dress,4.55,0.45
Dress14,4.694366197,28.996311199999997,dress,4.55,0.45
Dress15,4.84084507,19.60119048,dress,4.55,0.45
Dress16,4.761971831,13.97384306,dress,4.55,0.45
Dress17,4.870422535,18.99849095,dress,4.55,0.45
Dress18,4.809859155,29.55172703,dress,4.55,0.45
Dress19,4.74084507,17.81958417,dress,4.55,0.45
Dress2,3.8929577460000004,12.46478873,dress,4.55,0.45
Dress20,4.792957746,17.80197854,dress,4.55,0.45
Dress21,4.785915493,28.23809524,dress,4.55,0.45
Dress3,4.015492958,12.36695171,dress,4.55,0.45
Dress4,4.463380282,24.54460094,dress,4.55,0.45
Dress5,4.5577464789999995,25.73398726,dress,4.55,0.45
Dress6,4.288732394,16.73256204,dress,4.55,0.45
Dress7,4.343661972,12.548205900000001,dress,4.55,0.45
Dress8,4.449295775,12.3547116,dress,4.55,0.45
Dress9,4.54084507,27.31178739,dress,4.55,0.45
Sandals1,3.5,4.123904382,sandals,4.79,0.21
Sandals10,3.5,2.941666667,sandals,4.79,0.21
Sandals11,3.5,0.0,sandals,4.79,0.21
Sandals12,3.5,2.604761905,sandals,4.79,0.21
Sandals13,3.5,4.473809524,sandals,4.79,0.21
Sandals14,3.5,4.586111111,sandals,4.79,0.21
Sandals15,3.5,4.6388888889999995,sandals,4.79,0.21
Sandals16,3.5,4.822222222,sandals,4.79,0.21
Sandals17,3.5,4.785714286,sandals,4.55,0.45
Sandals18,3.5,4.81468254,sandals,4.55,0.45
Sandals19,3.5,4.834126984,sandals,4.55,0.45
Sandals2,3.5,4.179365079,sandals,4.55,0.45
Sandals20,3.5,4.998015873,sandals,4.55,0.45
Sandals21,3.5,4.982786885,sandals,4.55,0.45
Sandals3,3.5,4.08531746,sandals,4.55,0.45
Sandals4,3.5,4.062301587,sandals,4.55,0.45
Sandals5,3.5,4.249206349,sandals,4.55,0.45
Sandals6,3.5,4.466666667,sandals,4.55,0.45
Sandals7,3.5,4.476984127,sandals,4.55,0.45
Sandals8,3.5,4.449206349,sandals,4.55,0.45
Sandals9,3.5,4.438095238,sandals,4.55,0.45
Sneakers1,3.5,4.473972603,sneakers,4.55,0.45
Sneakers10,3.5,4.602702703,sneakers,4.82,0.18
Sneakers11,3.5,4.541891892,sneakers,4.82,0.18
Sneakers12,3.5,4.683783784,sneakers,4.82,0.18
Sneakers13,3.5,4.672972973,sneakers,4.82,0.18
Sneakers14,3.5,4.782432432,sneakers,4.3,0.7
Sneakers15,3.5,4.851351351,sneakers,4.3,0.7
Sneakers16,3.5,4.821621621999999,sneakers,4.3,0.7
Sneakers17,3.5,4.82972973,sneakers,4.3,0.7
Sneakers18,3.5,4.908108108,sneakers,4.3,0.7
Sneakers19,3.5,5.0,sneakers,4.3,0.7
Sneakers2,3.5,4.497297297,sneakers,4.3,0.7
Sneakers20,3.5,5.0,sneakers,4.3,0.7
Sneakers21,3.5,5.0,sneakers,4.3,0.7
Sneakers3,3.5,4.633783783999999,sneakers,4.3,0.7
Sneakers4,3.5,4.35,sneakers,4.79,0.21
Sneakers5,3.5,4.324324324,sneakers,4.79,0.21
Sneakers6,3.5,4.647297297,sneakers,4.79,0.21
Sneakers7,3.5,4.514864865,sneakers,4.79,0.21
Sneakers8,3.5,4.783783784,sneakers,4.79,0.21
Sneakers9,3.5,4.341891892,sneakers,4.79,0.21
clogs8,5.0,4.7619047619999995,clogs,4.79,0.21
clogs9,5.0,4.7619047619999995,clogs,4.79,0.21
clogs10,5.0,4.7619047619999995,clogs,4.79,0.21
clogs11,5.0,4.7619047619999995,clogs,4.79,0.21
clogs12,5.0,4.7619047619999995,clogs,4.79,0.21
clogs13,5.0,4.7619047619999995,clogs,4.79,0.21
clogs14,5.0,4.7619047619999995,clogs,4.79,0.21
clogs15,5.0,4.7619047619999995,clogs,4.8,0.2
Board1,3.5,3.887,board,4.8,0.2
Board10,3.5,4.200990099,board,4.8,0.2
Board11,3.5,4.314851485,board,4.8,0.2
Board12,3.5,4.376237624,board,4.8,0.2
Board13,3.5,4.326732673,board,4.8,0.2
Board14,3.5,4.534653465,board,4.8,0.2
Board15,3.5,4.473267327,board,4.8,0.2
Board16,3.5,4.757425743,board,4.8,0.2
Board17,3.5,4.659405941,board,4.8,0.2
Board18,3.5,4.728712871,board,4.8,0.2
Board19,3.5,4.924752475,board,4.8,0.2
Board2,3.5,3.7158415839999996,board,4.8,0.2
Board20,3.5,4.903960396,board,4.8,0.2
Board21,3.5,4.968253968,board,4.8,0.2
Board3,3.5,3.604950495,board,4.8,0.2
Board4,3.5,3.811881188,board,4.8,0.2
Board5,3.5,3.6623762380000002,board,4.8,0.2
Board6,3.5,4.0217821780000005,board,4.8,0.2
Board7,3.5,4.202970297,board,4.8,0.2
Board8,3.5,4.087128713,board,4.8,0.2
Board9,3.5,4.345544554,board,4.8,0.2
Dolls1,3.5559701489999997,4.407604833,dolls,4.8,0.2
Dolls10,3.817777778,11.74805996,dolls,4.8,0.2
Dolls11,4.311111111000001,6.63866843,dolls,4.8,0.2
Dolls12,3.60962963,5.103924162,dolls,4.8,0.2
Dolls13,3.8244444439999996,5.516313932999999,dolls,4.8,0.2
Dolls14,4.007407407,6.154585537999999,dolls,4.8,0.2
Dolls15,3.91037037,11.86794533,dolls,4.55,0.45
Dolls16,4.04962963,5.880511464,dolls,4.55,0.45
Dolls17,3.933333333,5.726631393,dolls,4.55,0.45
Dolls18,3.8207407410000003,11.06128748,dolls,4.55,0.45
Dolls19,3.896296296,7.040255732,dolls,4.55,0.45
Dolls2,3.885925926,5.063712521999999,dolls,4.55,0.45
Dolls20,3.965185185,7.352865961,dolls,4.55,0.45
Dolls21,3.797777778,11.91644621,dolls,4.55,0.45
Dolls3,3.942222222,4.150837743,dolls,4.55,0.45
Dolls4,3.9866666669999997,5.425705467,dolls,4.55,0.45
Dolls5,4.003703703999999,10.56194885,dolls,4.55,0.45
Dolls6,3.9866666669999997,8.130423281,dolls,4.55,0.45
Dolls7,3.815555556,5.02707231,dolls,4.55,0.45
Dolls8,3.8814814810000002,4.000529101000001,dolls,4.55,0.45
Dolls9,3.96,5.729453263,dolls,4.82,0.18
Edu1,3.5,4.592565056000001,edu,4.82,0.18
Edu10,3.5,4.473333333,edu,4.82,0.18
Edu11,4.972244268,4.598148148,edu,4.82,0.18
Edu12,3.5,4.58037037,edu,4.55,0.45
Edu13,3.5,4.414814815,edu,4.55,0.45
Edu14,3.5,4.518518519,edu,4.55,0.45
Edu15,3.5,4.689259259,edu,4.55,0.45
Edu16,3.5,4.8059259260000005,edu,4.55,0.45
Edu17,3.5,4.784814815,edu,4.55,0.45
Edu18,3.5,4.791111111,edu,4.79,0.21
